timestamp,temperature,humidity,pressure
1712606362771,31.34,20.99,1001.44
1712606363274,31.34,20.82,1001.47
1712606363778,31.36,20.89,1001.43
1712606364279,31.33,21.02,1001.42
1712606364781,31.34,21.16,1001.47
1712606365282,31.33,21.21,1001.48
1712606365783,31.34,21.24,1001.49
1712606366294,31.35,21.33,1001.47
1712606366795,31.35,21.39,1001.47
1712606367297,31.34,21.47,1001.5
1712606367798,31.34,21.73,1001.48
1712606368300,31.34,21.88,1001.47
1712606368801,31.36,21.93,1001.52
1712606369302,31.37,21.92,1001.49
1712606369804,31.37,21.92,1001.48
1712606370305,31.37,21.89,1001.5
1712606370807,31.37,21.89,1001.51
1712606371307,31.38,21.92,1001.53
1712606371808,31.38,21.96,1001.47
1712606372317,31.38,21.98,1001.49
1712606372818,31.39,22,1001.5
1712606373320,31.37,22,1001.47
1712606373821,31.39,21.93,1001.5
1712606374323,31.4,21.79,1001.51
1712606374826,31.4,21.54,1001.51
1712606375332,31.42,21.34,1001.44
1712606375834,31.41,21.19,1001.43
1712606376335,31.41,21.04,1001.46
1712606376837,31.44,20.93,1001.45
1712606377340,31.44,20.89,1001.47
1712606377841,31.44,20.86,1001.47
1712606378343,31.46,20.87,1001.45
1712606378844,31.44,21.21,1001.47
1712606379348,31.46,21.78,1001.48
1712606379861,31.46,22.08,1001.42
1712606380362,31.49,22.29,1001.44
1712606380863,31.5,22.49,1001.48
1712606381364,31.5,22.68,1001.5
1712606381868,31.5,22.95,1001.51
1712606382369,31.51,23.24,1001.51
1712606382871,31.51,23.34,1001.47
1712606383387,31.53,23.11,1001.53
1712606383889,31.51,22.98,1001.51
1712606384391,31.53,22.88,1001.51
1712606384893,31.54,22.88,1001.49
1712606385395,31.54,22.91,1001.47
1712606385897,31.55,22.94,1001.54
1712606386398,31.54,22.99,1001.5
1712606386900,31.56,23.11,1001.47
1712606387402,31.57,23.28,1001.49
1712606387904,31.58,23.55,1001.49
1712606388406,31.57,23.75,1001.41
1712606388909,31.58,23.88,1001.44
1712606389415,31.58,23.92,1001.48
1712606389916,31.6,23.91,1001.48
1712606390418,31.61,23.98,1001.48
1712606390931,31.61,24.05,1001.48
1712606391432,31.61,24.13,1001.5
1712606391945,31.64,24.19,1001.49
1712606392457,31.64,24.27,1001.5
1712606392963,31.64,24.4,1001.5
1712606393469,31.65,24.52,1001.49
1712606393971,31.65,24.62,1001.52
1712606394472,31.66,24.71,1001.5
1712606394973,31.66,24.79,1001.48
1712606395474,31.68,24.87,1001.47
1712606395978,31.68,24.89,1001.46
1712606396483,31.68,24.97,1001.51
1712606396984,31.7,25.1,1001.48
1712606397485,31.69,25.16,1001.48
1712606397986,31.69,25.23,1001.46
1712606398498,31.71,25.39,1001.43
1712606399004,31.71,25.63,1001.5
1712606399504,31.71,25.78,1001.5
1712606400005,31.71,25.85,1001.52
1712606400510,31.72,25.87,1001.51
1712606401018,31.73,25.81,1001.51
1712606401520,31.73,25.78,1001.54
1712606402036,31.74,25.72,1001.48
1712606402537,31.75,25.65,1001.48
1712606403039,31.75,25.56,1001.47
1712606403549,31.76,25.49,1001.45
1712606404051,31.76,25.46,1001.49
1712606404551,31.76,25.46,1001.52
1712606405052,31.78,25.47,1001.46
1712606405555,31.78,25.46,1001.49
1712606406063,31.76,25.46,1001.48
1712606406579,31.79,25.53,1001.5
1712606407081,31.8,25.65,1001.53
1712606407582,31.8,25.81,1001.48
1712606408084,31.81,25.97,1001.46
1712606408585,31.8,26.18,1001.47
1712606409097,31.82,26.39,1001.47
1712606409613,31.82,26.55,1001.49
1712606410115,31.82,26.7,1001.46
1712606410617,31.83,26.73,1001.52
1712606411123,31.84,26.68,1001.53
1712606411629,31.85,26.65,1001.53
1712606412146,31.85,26.63,1001.55
1712606412648,31.86,26.55,1001.53
1712606413149,31.86,26.39,1001.52
1712606413651,31.86,26.19,1001.52
1712606414154,31.86,26.01,1001.51
1712606414660,31.88,25.85,1001.46
1712606415163,31.88,25.75,1001.49
1712606415663,31.9,25.72,1001.51
1712606416167,31.89,25.91,1001.51
